trial,sequence,event_id,economic_loss,insured_loss,pa_loss
7,1,1,241152249.8,12057612.49,9739393.382
7,2,2,380169434.5,19008471.73,13569011.33
7,3,3,303849787.8,15192489.39,11466572.77
12,1,4,354865137,17743256.85,12871933.54
14,1,5,59019462.49,2950973.125,4722035.335
14,2,6,267107889.7,13355394.48,10454414.22
20,1,7,226838432.3,11341921.61,9345079.164
23,1,8,289167198.9,14458359.94,11062099.71
28,1,9,672419426.4,33620971.32,21619856.37
34,1,10,1317320673,65866033.66,39385468.53
41,1,11,179023363.2,8951168.161,8027879.087
51,1,12,272242924,13612146.2,10595873.13
59,1,13,338870755.8,16943537.79,12431323.48
65,1,14,465122343.8,23256117.19,15909277.29
65,2,15,924200271.9,46210013.6,28555865.37
72,1,16,223069202.1,11153460.11,9241245.156
72,2,17,111021181.6,5551059.08,6154568.421
75,1,18,229694808.7,11484740.44,9423766.058
79,1,19,1234313088,61715654.42,37098791.98
84,1,20,256758789.6,12837939.48,10169319.26
84,2,21,833014519.8,41650725.99,26043898.28
87,1,22,183435056.2,9171752.81,8149411.534
92,1,23,156284449.9,7814222.496,7401471.995
95,1,24,876113192.8,43805659.64,27231172.01
96,1,25,854212123.6,42710606.18,26627845.68
107,1,26,166679662.2,8333983.112,7687837.251
113,1,27,399080777.9,19954038.9,14089977.28
119,1,28,145297900.8,7264895.039,7098816.71
121,2,29,586780245.7,29339012.28,19260685.14
124,1,30,817577484.8,40878874.24,25618641.89
124,2,31,182974326.9,9148716.343,8136719.453
126,1,32,286877085.4,14343854.27,10999012.12
131,1,33,299350926.6,14967546.33,11342639.03
131,2,34,227664628,11383231.4,9367839.04
132,1,35,340336734.3,17016836.71,12471707.97
135,1,36,1120679895,56033994.77,33968447.23
140,1,37,812374022.7,40618701.13,25475297.95
146,1,38,297072414.7,14853620.73,11279871.04
154,1,39,116523367.2,5826168.362,6306141.544
157,1,40,719739160.6,35986958.03,22923411.06
168,1,41,717411528.4,35870576.42,22859289.91
170,1,42,740182212.8,37009110.64,23486572.23
171,1,43,520080056.6,26004002.83,17423241.51
174,1,44,261667476.4,13083373.82,10304542.79
176,1,45,304031917.7,15201595.88,11471590.05
177,1,46,676689323.3,33834466.16,21737482.65
180,1,47,488406774.1,24420338.71,16550712.18
189,1,48,472690002.3,23634500.12,16117749.65
189,2,49,753782182.2,37689109.11,23861221.5
190,1,50,149005228.8,7450261.438,7200945.449
195,1,51,196627008.4,9831350.422,8512820.828
196,1,52,204794525.3,10239726.27,8737817.97
200,1,53,1224320062,61216003.11,36823506.07
215,1,54,271888449.5,13594422.48,10586108.14
