,WildfireYr1,WildfireYr2,WildfireYr3,WildfireYr4,WildfireYr5,WildfireYr6,WildfireYr7,WildfireYr8,WildfireYr9,WildfireYr10
1,113860.5472,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,503258.3618,0,0,0
3,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,50339.49019,0,0,0,0,0
5,0,0,0,0,52535.47612,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0
7,32918.44867,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,55821.63401,0,0,0
11,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,41281.89655,0,0,0
13,0,0,0,0,0,0,0,0,0,0
14,865641.4525,0,0,0,0,0,0,0,0,0
15,0,46092.0927,0,0,51609.51546,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0
18,494752.8178,0,0,0,0,0,614548.1827,0,0,0
19,0,0,0,0,0,0,0,0,0,0
20,0,0,678808.1287,0,0,0,0,12811.9214,0,0
21,0,91658.62348,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,33880.18863,0,97188.92757,0,0
24,0,0,0,0,0,0,0,0,203395.3428,190194.2339
25,0,0,0,0,0,0,56157.35094,0,0,0
26,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0
29,0,0,258517.9616,0,0,0,0,0,0,0
30,101230.0382,0,0,0,0,30955.48256,0,0,0,0
31,0,0,0,0,0,0,0,92267.87799,0,0
32,0,0,0,0,0,0,0,0,0,0
33,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,89933.66279,0,0
36,0,0,104364.5332,0,0,0,0,0,0,0
37,0,0,0,0,0,0,0,0,190225.288,0
38,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,9536358.705
40,0,0,116112.1503,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0
42,0,0,0,0,38228.93197,0,0,0,0,0
43,0,0,400173.4955,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,38453.35477
45,0,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,0,0,0,0,0
47,0,0,0,0,0,0,0,0,0,37086.49517
48,0,0,0,0,8748.681156,0,0,0,0,0
49,0,0,0,0,0,0,240651.9537,0,0,0
50,0,0,0,0,0,0,0,0,0,0
51,0,0,0,0,47104.87758,0,0,0,0,0
52,0,0,0,0,0,954984.5487,0,66408.79993,0,0
53,0,0,0,0,0,0,0,151159.7427,0,0
54,0,0,0,0,0,0,0,0,0,0
55,168253.6065,0,0,0,0,0,0,0,52389.76251,0
56,0,0,0,0,0,0,0,0,0,0
57,28046.53528,0,0,60832.74121,0,0,0,0,0,0
58,0,0,0,0,0,0,0,0,0,98255.26834
59,0,17817.09455,0,91174.84072,0,0,0,53395.05965,0,49061.93733
