,FloodYr1,FloodYr2,FloodYr3,FloodYr4,FloodYr5,FloodYr6,FloodYr7,FloodYr8,FloodYr9,FloodYr10
1,50955.73837,142657.7214,73223.44322,62493.98456,54066.56784,82717.26646,106062.618,52286.81853,44383.19054,52002.94448
2,56506.33717,41657.4116,236311.7984,88089.04718,59312.82669,132226.4927,169392.1878,60054.69497,51301.23921,655390.3288
3,1117258.343,175152.801,47156.98032,51009.88334,53441.50311,98979.43547,124119.573,219442.6489,58803.74254,65826.06941
4,103846.3078,54590.34269,50847.01665,69022.79627,53014.17472,51716.05587,52910.43859,153332.3554,90042.57557,48523.8158
5,145319.173,102983.3756,50434.34424,42564.85312,161969.4972,53868.86497,85631.34583,157236.8966,57537.9103,68452.47709
6,76852.71371,48175.87823,64771.36577,59601.44613,51754.36042,57394.32933,53390.16781,86511.00972,103908.52,77109.15065
7,94554.61967,94566.95608,47931.80085,67237.73372,61212.50853,50302.88204,91701.16516,71038.22714,523308.6614,93614.18905
8,71936.60816,152904.6269,53764.42487,51308.21035,163392.2575,65321.66197,56801.96717,319220.038,50406.91755,125049.3066
9,105928.8052,45421.7969,4063588.216,63351.03875,64988.15539,232903.2433,61305.7788,54900.48153,93758.36323,75930.02035
10,56407.79551,54650.89813,233521.2317,60883.14048,111758.4325,70358.0343,303315.7593,133765.8256,45358.35638,179222.5818
11,86180.20728,48657.39646,51561.41096,48476.08364,54241.56375,199609.6015,50023.27318,54414.89443,96977.09386,122104.4873
12,163480.0885,80848.71471,70758.97517,61863.02693,227510.4726,52901.4263,54310.92055,166765.7534,48093.55536,826137.7103
13,350432.0627,57707.1776,69537.05737,51916.82163,127238.4549,63857.06236,51861.96764,124866.8615,94715.32634,65995.58293
14,112977.7587,64463.17402,225088.9145,101196.5597,68413.4702,102230.021,121463.3981,65405.8544,124133.8596,75909.40247
15,72743.10036,72220.52892,83452.39149,106923.3271,168751.086,58572.31734,271062.4737,266376.7278,77066.64176,47072.36078
16,55483.14165,46154.24197,70787.4053,49106.8465,46541.0622,53782.50878,84938.86624,91030.29679,48394.75399,97064.92642
17,93497.85207,74380.68786,87784.36671,47177.84322,339105.863,55908.41694,44672.54407,53177.56456,55618.59916,46045.3046
18,74504.98622,211259.9793,84679.26053,115008.6836,48089.88388,231125.883,51609.79514,158730.5488,157929.9908,67161.79704
19,113257.3376,165900.9746,57190.9279,217731.9098,1050889.302,49690.56171,96917.53234,56082.49141,96257.33696,83834.99487
20,241288.9573,76146.21121,171189.8654,65140.2275,77404.26554,49188.32705,79606.51044,42560.59144,53773.77601,44930.64039
21,60725.20036,46223.09556,94842.20096,228755.9828,96571.12457,99510.85776,90554.81695,50457.72984,125992.5544,67148.3173
22,131372.6135,96173.12768,51447.67346,62633.40336,57222.87401,106970.591,52847.98412,404019.3468,47444.95282,50336.14818
23,62598.5024,73359.12063,53191.85762,184582.2983,73770.15365,79454.33154,217903.2963,76865.28964,224756.1962,55603.89836
24,251186.7852,55996.60734,165106.2505,49165.33393,61458.00264,120424.0196,77202.28542,72751.21355,136009.4681,59142.13441
25,45927.4852,60739.75678,201577.3763,179024.8938,153845.7777,50592.92236,249363.9289,52397.49507,58387.31778,74669.08795
26,81319.68804,43825.78133,52359.57087,46917.53175,49547.7264,59253.31263,89032.45947,66458.48057,808060.3664,102438.4478
27,89336.84897,58790.01517,546136.3064,53451.94981,50037.40354,43190.90027,56828.37514,56789.02159,51508.59853,47887.69148
28,56610.51777,44533.53267,46223.53765,64114.82177,70327.69082,91488.58084,81447.17532,151734.5426,78595.22292,107042.1238
29,59113.80913,63822.09064,153920.4993,46455.52203,77182.63403,452169.6328,41713.14509,82947.73899,48245.58098,69423.20393
30,55215.16412,57717.1426,50333.82253,155155.4644,90083.08738,72106.84976,72374.7867,78964.05401,47319.69402,391352.4649
31,45697.93608,106500.8174,241690.7107,50303.21018,59857.41231,51453.28763,48835.42328,83139.82914,47443.0196,64726.36147
32,107622.5956,51380.70403,880723.9181,58104.41603,172906.1307,106304.8917,88279.38242,48569.1942,158483.0514,69867.65626
33,68804.25125,371359.7959,145484.0196,50712.36619,807588.9954,367461.7419,73047.14945,77572.57721,137262.1988,239419.3061
34,112899.3895,52668.66317,46922.23197,497791.4679,62459.23968,415995.3657,95651.66214,51059.62155,65177.64097,58988.32901
35,58977.39404,85241.62662,255604.1092,57805.57419,190310.501,308232.7327,53800.60492,53863.85905,45550.50864,109834.9256
36,143056.3386,116707.2938,109402.7931,225027.1789,562696.5418,71066.88138,76952.89754,103519.1049,61727.67053,2342174.945
37,63142.76349,88590.82814,660077.2923,986255.413,607644.2843,63428.56607,136465.2648,52809.93812,575420.03,69981.65799
38,51950.06816,229867.593,681140.2544,205254.8222,60471.3751,137219.52,498708.5727,159316.3172,58983.78595,45701.98968
39,3275006.312,152932.0597,47435.2395,362725.6704,37801.2009,118189.1882,178633.1826,442532.8004,51324.45941,49251.21738
40,51524.62908,95779.525,53727.92305,638979.9174,72056.68996,99853.55025,91688.85913,48297.91616,151950.6185,82552.52586
41,124957.8882,252600.4572,57691.48162,96716.68469,630576.7525,123857.356,100211.9794,48600.92752,48188.5033,49418.26336
42,195733.4985,50678.14421,155539.0954,109812.6709,107551.0673,217370.8168,221595.9159,43836.48088,190771.6237,404617.733
43,56873.77449,147827.5709,84087.91459,74147.50222,384505.4027,296319.3206,420992.3402,57425.79125,50301.71099,215723.0447
44,36110.7099,213638.2438,524019.018,129246.2672,415616.0299,216071.4148,186779.1373,421702.6125,92732.3448,56002.06766
45,89250.18256,93467.40353,46077.38923,50037.45957,131224.9563,222707.911,1125322.659,60413.48799,102528.3907,72465.49246
46,54646.95025,47627.08609,48710.95602,285558.0032,53021.51595,52557.54515,155932.8324,49168.19955,107054.069,49245.72049
47,202931.6583,45020.40143,906634.1449,323182.0527,148040.4263,68368.40644,45523.4855,57527.95957,46647.74295,63877.09467
48,93411.78829,66207.33594,66108.25679,76246.06904,209640.2246,81482.1763,230349.548,50283.19969,94088.79986,191558.4398
49,92903.92224,1130784.08,50481.8469,57889.37856,49647.94179,61690.30599,86288.01868,235312.0721,152969.8302,78861.72232
