,HiWindLossYr1,HiWindLossYr2,HiWindLossYr3,HiWindLossYr4,HiWindLossYr5,HiWindLossYr6,HiWindLossYr7,HiWindLossYr8,HiWindLossYr9,HiWindLossYr10
1,0,0,128747.1794,0,0,0,58664.58975,14350.96017,0,4257.466254
2,0,0,0,0,0,0,144254.9706,0,0,0
3,0,0,0,0,24326.19953,0,0,0,0,0
4,0,0,7704.083371,0,0,0,0,0,0,0
5,0,0,0,493.6354826,0,17911.36312,10207.87965,0,0,0
6,0,0,104237.0624,0,0,0,0,0,0,0
7,0,35847.09088,0,0,0,24259.44394,56.39154415,0,0,0
8,0,0,0,0,0,0,2874.827925,0,74836.1813,75750.31886
9,0,0,0,33839.27076,0,1972.677208,0,23778.38604,0,0
10,25859.8299,134400.3416,0,0,0,0,0,14438.41563,0,0
11,0,6775.6338,0,0,0,85108.82101,0,48041.05768,0,2605.542016
12,0,0,293.5111199,0,278.151323,5327.31666,1327420.36,3148.720145,0,52148.39649
13,108436.0872,0,0,0,12756.21817,0,0,0,0,0
14,19288.63857,0,0,0,55890.28979,0,0,0,0,0
15,0,32738.09583,14107.81382,0,0,0,396930.3228,0,0,23118.56456
16,0,0,0,0,0,0,0,0,0,0
17,0,0,0,0,286.5680272,42359.98201,0,0,1470.242789,0
18,0,0,0,0,0,0,0,0,0,11322.16262
19,0,0,0,0,0,0,0,0,1096.395619,0
20,0,0,0,0,8671.439201,0,3946.069327,0,0,0
21,30921.38897,0,3055.49795,177.0460296,0,0,0,0,6951.050487,0
22,0,0,0,0,0,0,0,520.1786067,0,67.71153938
23,53670.73277,17272.89064,0,0,0,0,1384.897447,0,0,0
24,34091.53466,0,0,745.157733,37919.945,0,0,30280.99741,27306.51606,15026.25894
25,0,0,0,0,80921.62757,0,0,4410.109007,0,0
26,0,0,0,0,0,0,0,0,0,0
27,0,17725.09385,0,0,1042088.047,0,13599.90022,0,136904.4553,0
28,8863.132305,52114.51428,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0
30,45786.80783,0,0,0,14963.1845,0,90072.74396,0,0,0
31,0,0,7951.945178,0,17444.39761,0,0,0,0,0
32,77218.7324,0,0,92170.34106,0,0,0,0,50008.87837,0
33,0,13919.06534,0,3373.482518,0,375580.49,137660.2275,155730.9627,0,1799.47246
34,0,1726.15711,18247.53822,27775.64516,131776.8567,0,0,41552.28277,0,0
35,0,0,0,5026.954122,26598.79996,10196.30029,35507.80415,595.9769262,478.8050907,0
36,0,0,9090.616132,55357.35872,7898.325416,0,976.1820809,0,0,0
37,0,0,0,101883.5953,0,34127.8948,0,0,44565.01047,0
38,196035.8062,0,0,39242.74795,0,0,0,18559.42123,0,0
39,1853.842749,0,44568.49238,0,0,0,0,0,6193.027012,0
40,0,171479.0734,0,9840.745318,0,11601.65573,0,0,261266.96,0
41,0,1843.297154,140185.4297,0,10986.0463,0,0,0,0,0
42,0,0,0,26843.51882,1030.645454,515.801017,25706.39104,0,0,0
43,0,9483.137009,9475.12255,0,3770558.968,0,0,0,0,0
44,40960.59298,62310.35008,138156.9989,13347.3393,0,0,5349.079835,0,0,0
45,0,0,0,0,0,0,0,443.6071719,0,0
46,0,0,0,0,1217.760381,0,0,0,0,0
47,0,3646.623709,0,0,0,0,0,8147.855347,2477.305953,0
48,0,0,0,0,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0
50,0,54865.99223,0,0,32289.80461,0,0,0,0,0
