,OtherHazNetCostYr1_,OtherHazNetCostYr2_,OtherHazNetCostYr3_,OtherHazNetCostYr4_,OtherHazNetCostYr5_,OtherHazNetCostYr6_,OtherHazNetCostYr7_,OtherHazNetCostYr8_,OtherHazNetCostYr9_,OtherHazNetCostYr10_
1,5344660.143,0,0,0,0,0,0,0,2551641.82,2782451.632
2,0,0,0,0,0,218.6832901,8901716.682,0,0,-5499460.083
3,0,0,21567263.28,-8422468.011,1126.076267,0,-677.1911318,0,5663006.238,-2.950504543
4,0,8596923.401,0,0,453.1580535,0,4608133.268,-4146039.933,0,0
5,0,3797914.051,0,0,0,0,0,394549.0868,0,3812706.866
6,0,12053689.92,0,0,0,0,0,8855.372895,0,452590.2637
7,0,0,438.9296696,0,0,0,0,0,0,0
8,0,19456192.31,0,-11001917.16,-5493443.155,0,0,10537275.43,1520319.238,-5166318.851
9,0,0,0,631.7774342,-442.0226741,0,2935480.166,0,0,0
10,0,896118.4082,3844075.535,-315216.4363,0,0,0,0,0,0
11,0,0,0,0,1699.018722,54610.17212,5550191.327,5692460.242,-6216211.288,2089786.453
12,0,0,0,1874259.887,0,-1367165.451,0,0,0,312.2834592
13,0,0,12471295.66,2724604.073,0.005061526,-0.003510477,0,0,0,0
14,0,0,0,4974690.576,-230127.6506,0,0,10075720.48,0,-6528280.989
15,0,1509.189183,0,1236646.948,0,0,0,214445.629,131296.8444,0
16,0,4352151.344,0,0,-3080650.805,0,0,0,0,14182.40024
17,0,0,0,0,0,0,0,197.8290084,0,0
18,10758831.46,0,729471.8138,-572392.3494,0,101727.4958,404122.9776,-240750.8087,-83889.0344,0
19,0,0,6204250.854,406.0216437,2548581.361,0,0,-2206118.815,0,0
20,0,11085117.45,1402182.427,0,0,-1016488.379,0,11.40925961,0,10642.32453
21,0,0,0,0,598332.4698,0,-452295.287,0,151928.3216,-82473.05519
22,0,0,0,0,6015987.406,10798.95372,0,0,0,0
