,PensionYr1,PensionYr2,PensionYr3,PensionYr4,PensionYr5,PensionYr6,PensionYr7,PensionYr8,PensionYr9,PensionYr10
1,0.110021683,0.064607324,0.063804335,0.099119535,0.073013926,0.086771086,0.106750354,0.11926655,0.081753778,0.10337213
2,0.086395091,0.088665254,0.102591609,0.15004404,0.070661671,0.074901923,0.109136466,0.062484121,0.062421341,0.079523906
3,0.094153672,0.076597051,0.092206873,0.113421011,0.066011061,0.071566378,0.077140789,0.095473718,0.103411857,0.104981449
4,0.107569935,0.102222414,0.109542125,0.067124173,0.051603475,0.072874442,0.095109266,0.086268399,0.060357908,0.107083867
5,0.058941102,0.085094982,0.080191937,0.075249031,0.089903323,0.081271382,0.120062037,0.069315994,0.120709544,0.071180329
6,0.098000279,0.107077904,0.083761015,0.085976069,0.068014451,0.124588646,0.063520013,0.115701861,0.063531579,0.065912071
7,0.068917328,0.086356564,0.102973122,0.09271908,0.084936205,0.090522513,0.088323384,0.095843292,0.088446568,0.098360922
8,0.078704338,0.083805678,0.107355772,0.108962082,0.12084589,0.098686643,0.109912908,0.088333953,0.183966039,0.126182581
9,0.096936213,0.131642324,0.075301607,0.08694653,0.135655267,0.099924887,0.071562613,0.058107958,0.109315007,0.094247036
10,0.057305384,0.090244386,0.074529781,0.092437529,0.089771407,0.123677031,0.167319549,0.066907828,0.115511928,0.07758303
11,0.082825203,0.068432871,0.088369356,0.026413536,0.089206857,0.080965375,0.08471567,0.091712414,0.05898054,0.051371755
12,0.094262211,0.090588195,0.104203537,0.078499047,0.077610354,0.087500179,0.070333373,0.101989398,0.092755294,0.060204773
13,0.106004378,0.099309394,0.096756992,0.063856401,0.109984481,0.056546195,0.0476821,0.10800424,0.077827359,0.078034495
14,0.138137315,0.110468672,0.096622495,0.070862364,0.101649364,0.102243631,0.115165777,0.092105188,0.105578714,0.100525235
15,0.07386647,0.124024126,0.135998328,0.099616991,0.10058384,0.051530085,0.088053492,0.034274493,0.10587841,0.098956669
16,0.022079695,0.108339343,0.08591246,0.085928721,0.101209141,0.054961927,0.075233852,0.010737974,0.061179936,0.094514976
17,0.068919554,0.086201494,0.088200241,0.096786027,0.093130406,0.109998233,0.177800013,0.085956933,0.097615975,0.11933823
18,0.07032444,0.103407645,0.093202436,0.081468308,0.110235723,0.112635599,0.03634377,0.101386004,0.125321937,0.130477517
19,0.083114411,0.104401094,0.099557056,0.086800726,0.084523241,0.108450559,0.043316358,0.048521434,0.099250537,0.063793737
20,0.089023109,0.072674544,0.076099563,0.050244323,0.057595039,0.056027839,0.113867411,0.060139338,0.096629858,0.12474518
21,0.104010521,0.094027479,0.083216766,0.080727386,0.118228048,0.119233643,0.090592713,0.109352417,0.097962647,0.09917853
22,0.09439655,0.07461472,0.072240236,0.147927719,0.085219429,0.097174796,0.050332017,0.094934082,0.085214813,0.112190977
23,0.086792634,0.114381667,0.112403873,0.090101547,0.064514267,0.102776488,0.088149875,0.05039214,0.060280772,0.123097468
24,0.083668332,0.115806934,0.093243362,0.087164119,0.105778849,0.107543162,0.11554504,0.071982849,0.116621632,0.067362203
25,0.101783284,0.076470929,0.101967543,0.106815751,0.076324966,0.064336058,0.08618713,0.103581924,0.118292622,0.076422368
26,0.132892061,0.113240696,0.134265405,0.179834413,0.087059465,0.074177612,0.092453595,0.087730424,0.094162939,0.100223933
27,0.096122637,0.094779936,0.029232602,0.103180812,0.064697605,0.070008146,0.117814739,0.109135528,0.073227212,0.087385479
28,0.096471794,0.072204147,0.073733953,0.100674785,0.118192316,0.029282139,0.10539258,0.076575699,0.117773261,0.082043938
29,0.104376194,0.064779407,0.077176332,0.059614803,0.082465921,0.05738655,0.103854525,0.075651943,0.121335487,0.114459241
30,0.107426075,0.124288108,0.068625897,0.083013154,0.064498678,0.10730409,0.09321689,0.13158685,0.103175738,0.065763921
31,0.138869658,0.111865831,0.090751968,0.113489918,0.093086414,0.120796131,0.066164495,0.07923187,0.063820183,0.05682068
32,0.076592937,0.073698825,0.11318616,0.115169128,0.073438486,0.082104953,0.066069993,0.152613463,0.083057421,0.097432067
33,0.08880391,0.080846995,0.105790506,0.086175991,0.111483787,0.060140464,0.0996246,0.089661015,0.087930714,0.041581098
34,0.09738278,0.056902414,0.066816419,0.071966552,0.067319302,0.086112751,0.098607835,0.051969235,0.108430886,0.091019314
35,0.079032018,0.104714575,0.086296399,0.07422722,0.089120339,0.123387255,0.098445653,0.104339439,0.105499778,0.091410217
36,0.112851393,0.083507762,0.113268278,0.091148905,0.079197232,0.091553141,0.083983761,0.122351211,0.075803227,0.060639157
37,0.107745543,0.077317308,0.053460887,0.100099624,0.082212152,0.092111514,0.130209422,0.114357145,0.09694513,0.139690935
38,0.098827076,0.040467766,0.107565295,0.085379593,0.11801746,0.094471923,0.110954823,0.100602567,0.066956195,0.100021064
39,0.07286288,0.051883317,0.037436228,0.050030639,0.140960874,0.092634346,0.068424272,0.055292121,0.108201345,0.081203423
40,0.075592653,0.050809605,0.103268752,0.019171178,0.094683453,0.096680741,0.101202838,0.064764749,0.063837202,0.111775371
41,0.052108328,0.067247228,0.046922321,0.095061346,0.075481445,0.08720292,0.103071915,0.059217951,0.11193805,0.07056448
42,0.096742068,0.110830038,0.107921888,0.071687816,0.083803754,0.132607385,0.108444164,0.086545766,0.091714788,0.101026386
43,0.112985473,0.00098904,0.11694577,0.082885588,0.08388267,0.080076201,0.109254259,0.105731377,0.101192051,0.102255699
44,0.102157741,0.092081509,0.112714066,0.116855445,0.092138911,0.083950862,0.103148107,0.100744457,0.082086081,0.090607206
45,0.065734328,0.099466961,0.038406329,0.054652194,0.091853871,0.11842831,0.09195623,0.096941182,0.111810739,0.094237247
46,0.072898319,0.111134989,0.102595578,0.053976302,0.052287785,0.074424209,0.078979139,0.082157705,0.04103423,0.12396351
47,0.071567725,0.10818169,0.090105057,0.070826729,0.09763301,0.1013081,0.09351755,0.097543311,0.058550627,0.098521706
48,0.098558885,0.106334793,0.057847818,0.080440515,0.078416953,0.118759266,0.035289654,0.113074978,0.06308758,0.081513957
49,0.078608889,0.061897186,0.141987977,0.072161392,0.112508968,0.092041241,0.072058812,0.059766205,0.091576189,0.091139381
50,0.102870226,0.108587709,0.098860425,0.075659493,0.079761773,0.096055933,0.073862625,0.121828076,0.10277348,0.098261316
51,0.119527307,0.089689791,0.1200177,0.101791821,0.099155675,0.1051523,0.077224273,0.100265718,0.121990806,0.071205651
52,0.08889536,0.084634394,0.054699087,0.124564631,0.079340397,0.089808286,0.088643441,0.09065123,0.112824187,0.056993778
53,0.07889144,0.094386555,0.055349809,0.078814561,0.069509458,0.070524638,0.079531884,0.1167579,0.098337764,0.116270385
54,0.073762088,0.128365787,0.115217134,0.071751205,0.06928461,0.091982829,0.093107725,0.087379637,0.099806858,0.072197759
55,0.131608812,0.085294766,0.069730584,0.085095417,0.139280603,0.08499039,0.016172097,0.072739716,0.095549561,0.053381119
56,0.083991001,0.116958693,0.0722787,0.067222465,0.06925486,0.05318212,0.101248002,0.072830634,0.089645576,0.121698787
57,0.074437849,0.083057307,0.075073275,0.100657585,0.104977582,0.088876659,0.103766436,0.106069001,0.081114447,0.131378359
58,0.081166849,0.082424443,0.052975763,0.048074301,0.055304401,0.125072142,0.076914806,0.06536406,0.104337984,0.095255923
59,0.07427547,0.096252249,0.090037275,0.130197623,0.130624343,0.112761848,0.105157178,0.13085552,0.085211716,0.028749676
60,0.086310866,0.099670885,0.080620934,0.113011536,0.101796237,0.098031128,0.089894747,0.128112043,0.171743206,0.102264199
61,0.069821979,0.070718459,0.112088561,0.094821975,0.076296534,0.083651953,0.064949258,0.078269514,0.074204723,0.104886576
62,0.141742819,0.073777083,0.087710669,0.075997232,0.090097213,0.112034968,0.071654456,0.079577175,0.066632347,0.046929958
63,0.100000181,0.103303197,0.087780073,0.058862808,0.067983378,0.104083351,0.075982422,0.076011393,0.128478063,0.069036142
64,0.080008364,0.078196889,0.126160087,0.111409173,0.120137419,0.052731795,0.013357896,0.086303944,0.065334509,0.137694604
65,0.083149582,0.047182727,0.079011552,0.119450911,0.095789359,0.085382655,0.075098654,0.143938344,0.122135802,0.078135533
66,0.098763689,0.129430512,0.068630571,0.0771395,0.065815829,0.09321515,0.103451059,0.050721542,0.077357091,0.106848976
67,0.08915638,0.081898103,0.09861958,0.052423966,0.078779702,0.070205538,0.090931272,0.095528461,0.074247938,0.083547364
68,0.121650698,0.043824594,0.083474909,0.08183114,0.096807788,0.123676371,0.113851433,0.085892825,0.097470252,0.091990046
69,0.117006128,0.173209777,0.08161727,0.057014545,0.081784387,0.106018519,0.097808628,0.109570716,0.067996018,0.065853852
70,0.078208776,0.100816896,0.088565523,0.137891071,0.069615457,0.120572025,0.124487654,0.047377014,0.077271056,0.126610061
71,0.096002927,0.119745047,0.083374975,0.116270361,0.083849477,0.108961092,0.127863351,0.086455998,0.085176469,0.037118217
72,0.012163873,0.088937043,0.116438248,0.098037642,0.078212745,0.069397425,0.128980492,0.142213468,0.108176094,0.081011832
73,0.060387757,0.08244558,0.036130948,0.121850368,0.116962001,0.110766342,0.103295355,0.080483948,0.058862746,0.068630045
74,0.104381613,0.083470579,0.087464184,0.070828833,0.126159358,0.084967716,0.069114532,0.067587882,0.13140248,0.073246594
75,0.102402989,0.089492089,0.102473358,0.059091862,0.084608232,0.055318656,0.090132574,0.107203775,0.107676853,0.081098077
76,0.06558744,0.124625146,0.062339622,0.071427492,0.110686067,0.089527982,0.081568524,0.086561299,0.083626822,0.070783277
77,0.093965226,0.075066027,0.096489886,0.118733359,0.096577701,0.076025326,0.127306404,0.12310232,0.087242979,0.072725141
78,0.067859095,0.119040911,0.113486192,0.101114827,0.10367287,0.09963474,0.070096689,0.096921913,0.142483522,0.1110277
79,0.08455444,0.092051154,0.080718177,0.091906978,0.092892915,0.036123237,0.085420035,0.100968167,0.091919422,0.06768414
80,0.149567191,0.085449575,0.083691418,0.117652433,0.074786429,0.087495754,0.068671735,0.08288696,0.091516833,0.091853575
81,0.059131497,-0.001744084,0.059680213,0.089261593,0.1066662,0.075481422,0.133572544,0.055062059,0.099758563,0.082033206
82,0.087404188,0.109296457,0.103882443,0.114811099,0.081622764,0.071039829,0.10499155,0.075421545,0.116454901,0.069172221
83,0.106600058,0.10673383,0.104007594,0.033847275,0.113662476,0.091451062,0.073988463,0.067763936,0.089940706,0.095054433
84,0.072245242,0.109639705,0.080899445,0.09808885,0.102885468,0.059003833,0.117203705,0.100063338,0.102809397,0.122884627
85,0.095550582,0.093346722,0.046181045,0.089355031,0.105955067,0.040131367,0.093302489,0.14328543,0.08102858,0.120952205
86,0.045775947,0.101675438,0.063309498,0.103303538,0.085975231,0.102237768,0.07284062,0.110696993,0.127018232,0.068264406
87,0.080969137,0.091311023,0.075045582,0.051383067,0.105474688,0.085619315,0.097103769,0.097094009,0.083742384,0.098929723
88,0.117722215,0.08713951,0.057499647,0.071070034,0.087105183,0.077028182,0.110091709,0.09459512,0.112705141,0.086395783
89,0.126697807,0.122819667,0.08829027,0.06148832,0.052392539,0.076714261,0.071817307,0.084358954,0.081190674,0.103828862
90,0.104546649,0.079360957,0.117475631,0.090931712,0.106392943,0.079093723,0.078545241,0.100117872,0.101202515,0.103457769
91,0.055077364,0.076803038,0.0596114,0.076424565,0.039953658,0.140299573,0.087752322,0.068883839,0.105414319,0.08305292
92,0.054547305,0.086275348,0.095966612,0.069768705,0.097675784,0.067041649,0.100629977,0.096889127,0.080760349,0.154723228
93,0.086094238,0.093297263,0.079002504,0.10863919,0.125383585,0.087773924,0.094645963,0.115179748,0.145573345,0.083004624
94,0.070366621,0.093372967,0.115416767,0.096852914,0.108296773,0.04364682,0.093440243,0.096802134,0.019908435,0.125259442
95,0.060363204,0.097383478,0.038392752,0.073064793,0.087660526,0.116866862,0.086794127,0.065460374,0.055974889,0.088025754
96,0.055241544,0.087276264,0.06295905,0.077887711,0.085646146,0.085952292,0.086898597,0.07502608,0.094931952,0.078434995
97,0.088404387,0.086306761,0.085336384,0.061152737,0.084208099,0.081945737,0.085394285,0.123945332,0.10291705,0.076616646
98,0.073158312,0.103392533,0.062206904,0.094791417,0.074580313,0.120756589,0.11147533,0.099891483,0.152135115,0.082056357
99,0.096460236,0.034291188,0.064627331,0.101507774,0.086354772,0.068770933,0.110408928,0.089004891,0.082337872,0.081325276
100,0.129503482,0.082721532,0.059322159,0.05978496,0.101841527,0.104694935,0.100890725,0.086837227,0.152010771,0.103960545
101,0.063455961,0.092040453,0.060717093,0.076850763,0.080878087,0.107535801,0.085630797,0.096785641,0.084616327,0.112739961
102,0.137053425,0.096106962,0.101515714,0.111556919,0.030523088,0.092777196,0.065923987,0.072027668,0.076559919,0.076255891
103,0.071283193,0.071944383,0.105579702,0.095297973,0.082124223,0.096498864,0.094821971,0.074222199,0.077600477,0.101537866
104,0.078906692,0.1064834,0.09661926,0.145504049,0.08526772,0.064136764,0.06277718,0.085052575,0.084542329,0.073519551
105,0.087873985,0.102182244,0.094517873,0.086565212,0.095848911,0.085143746,0.021944257,0.105979098,0.077398899,0.127126045
106,0.088111853,0.109202191,0.083159604,0.114345096,0.097329776,0.090507109,0.12467599,0.073199995,0.113392899,0.083256106
107,0.096373105,0.093271926,0.025282888,0.046331443,0.077467577,0.096372662,0.076981521,0.050112633,0.102021112,0.093278621
108,0.009583726,0.063455166,0.065262208,0.087407553,0.062530834,0.113926924,0.079764874,0.102256505,0.039995765,0.036071413
109,0.100977885,0.08578195,0.089357366,0.078561073,0.075097029,0.107088852,0.055521498,0.13784691,0.065044285,0.133442088
110,0.064574396,0.06835198,0.111813431,0.078278051,0.115462547,0.126602198,0.106496409,0.090014681,0.085440303,0.067598939
111,0.094042813,0.071392994,0.083473489,0.048848539,0.090949472,0.12272272,0.050637515,0.118974224,0.109714135,0.060439198
112,0.094848341,0.127444234,0.077056535,0.096542157,0.158009196,0.066721045,0.112959934,0.073070923,0.079065742,0.057629491
113,0.100280475,0.122210274,0.100771526,0.062230892,0.128303557,0.079911787,0.097516136,0.11423103,0.079858825,0.080414261
114,0.091363978,0.075617514,0.038151831,0.083807326,0.116298731,0.093986477,0.05956596,0.070594591,0.082932827,0.122502905
115,0.078079506,0.095949625,0.095472839,0.071180342,0.093009094,0.093572569,0.118280569,0.095310251,0.048286877,0.046457065
116,0.071265329,0.04435444,0.090305293,0.070967085,0.101972356,0.06640409,0.097938031,0.11029389,0.102843971,0.095384987
117,0.071778902,0.087727437,0.093203416,0.100143049,0.076197459,0.092509182,0.045093164,0.044492676,0.059460771,0.183806349
118,0.119776115,0.10070964,0.124873024,0.086659524,0.073574744,0.110645216,0.102935172,0.092937774,0.132178398,0.040296792
119,0.100554136,0.065032998,0.069493969,0.125561,0.078771887,0.096957246,0.079922076,0.109786143,0.088642074,0.097851291
120,0.081120031,0.090983929,0.107025407,0.085685448,0.08867568,0.104667115,0.142944471,0.042699499,0.070068979,0.09482455
121,0.081861781,0.101965036,0.115664375,0.128051943,0.111820178,0.073562504,0.111653971,0.099549786,0.084378136,0.090162294
122,0.102753613,0.10306273,0.094390734,0.086770849,0.095729755,0.131886993,0.079520722,0.076552626,0.09806627,0.076589517
123,0.100303524,0.101592615,0.086147836,0.080635733,0.100986672,0.110651878,0.105717463,0.121728539,0.106817455,0.198112853
124,0.087321395,0.097417043,0.078664622,0.12977199,0.132178196,0.092931328,0.129660986,0.080981975,0.07614323,0.095065672
125,0.089811384,0.116339943,0.07079028,0.106463514,0.086324097,0.069920726,0.099717579,0.079289843,0.077033723,0.075078296
126,0.083087062,0.119383797,0.085367438,0.080561618,0.078446173,0.100967392,0.091814239,0.057854391,0.110686114,0.110905934
127,0.055103474,0.141101857,0.0828384,0.141051755,0.102848216,0.07890578,0.081517684,0.115275589,0.193151857,0.092916101
128,0.116405212,0.081750423,0.161384841,0.0769986,0.081651798,0.090980824,0.067575759,0.114112726,0.031914015,0.098814691
129,0.094614279,0.092501544,0.110393791,0.072785655,0.04687383,0.067367781,0.106626024,0.059705064,0.091898278,0.074958713
130,0.091192733,0.060927713,0.058764958,0.10345433,0.112806249,0.115900974,0.093303898,0.07587914,0.115240571,0.066756378
131,0.109138074,0.092641992,0.079977621,0.081873225,0.132507144,0.091175536,0.127953128,0.135733421,0.097098546,0.086944274
132,0.116869558,0.142592077,0.085504324,0.125361067,0.130823071,0.130016023,0.091340594,0.113411096,0.07814292,0.068270925
133,0.080425753,0.038209896,0.084012523,0.090622629,0.081659064,0.078192193,0.103826083,0.087004208,0.100896796,0.052473701
134,0.048078992,0.113311816,0.094157534,0.101354985,0.074142238,0.114270926,0.070143973,0.07811273,0.11516352,0.088006633
135,0.081973069,0.074045104,0.096424018,0.084414605,0.069882353,0.102911742,0.055187161,0.044622384,0.084938684,0.100474068
136,0.102859695,0.076815782,0.134836978,0.092391998,0.089994828,0.084466095,0.089733745,0.127155654,0.080274273,0.145350947
137,0.068887662,0.077382044,0.099488964,0.129443697,0.125944939,0.058949042,0.073377365,0.104125203,0.137906773,0.103938439
138,0.060445326,0.120270591,0.048206361,0.171444629,0.115018633,0.109650181,0.051244414,0.07553012,0.096364984,0.095344774
139,0.116185655,0.089271045,0.05249698,0.060405741,0.080425468,0.104458477,0.119885068,0.08095059,0.072210513,0.087797786
140,0.100291888,0.049545459,0.09184685,0.090649953,0.097650494,0.101861142,0.116134166,0.051902385,0.076081068,0.081904715
141,0.10760182,0.083477222,0.131498765,0.087549818,0.078688406,0.077522101,0.09840466,0.049017526,0.054552812,0.093298366
142,0.103361213,0.089128609,0.090069075,0.128478733,0.102147165,0.075395895,0.084531424,0.09700647,0.112340376,0.087948325
143,0.07998699,0.095848399,0.119289015,0.063403341,0.059912704,0.084580184,0.081961856,0.10279472,0.061408677,0.088544078
144,0.083589458,0.088203573,0.098069032,0.104982711,0.086332731,0.110815719,0.081547279,0.071997678,0.168694621,0.069365385
145,0.103534555,0.071212766,0.09192994,0.118390103,0.071951653,0.045213095,0.109036835,0.077815469,0.088191287,0.083819065
146,0.073654955,0.071137637,0.104266416,0.098102182,0.137958324,0.112201614,0.049116553,0.142954592,0.070934877,0.114890123
147,0.055482416,0.078628143,0.068335671,0.07573326,0.086825515,0.085880894,0.093233266,0.115709411,0.161610267,0.096201571
148,0.075735348,0.110111334,0.083084288,0.11328886,0.050787227,0.080632055,0.124414327,0.104816306,0.074737451,0.127744276
149,0.098196989,0.127074836,0.070458714,0.091770285,0.101010727,0.044004282,0.113253476,0.102322441,0.087142666,0.064794551
150,0.102500037,0.054196668,0.089271544,0.086373241,0.088485945,0.11565422,0.064544077,0.107977965,0.048219267,0.126096642
151,0.097624416,0.086570438,0.072588065,0.066980854,0.080467747,0.082193829,0.117123851,0.07951174,0.063906984,0.082509033
152,0.103344661,0.077305254,0.102396307,0.127840621,0.080151508,0.127040177,0.066007419,0.080971248,0.108158805,0.057893055
153,0.099273928,0.059826415,0.081966225,0.102130793,0.134782205,0.130170849,0.065328245,0.099229371,0.079185694,0.028133273
154,0.067015645,0.081573696,0.077857878,0.116973017,0.1173361,0.101375026,0.086422968,0.039925156,0.109014132,0.112016892
155,0.08945535,0.098347898,0.086040813,0.070320661,0.088566821,0.122370802,0.083657347,0.095875293,0.11768551,0.090806567
156,0.06900814,0.161431212,0.09773045,0.057902019,0.106555186,0.07907599,0.113952328,0.12193704,0.034228338,0.128843916
157,0.101707201,0.091650056,0.088249726,0.103660686,0.079628204,0.02067315,0.12222395,0.058403816,0.088052411,0.077221825
158,0.093601939,0.091978745,0.131389444,0.133678341,0.106498685,0.092450185,0.084056241,0.094783918,0.110014111,0.040116037
159,0.096032595,0.078702211,0.079899756,0.109597919,0.081547268,0.080233351,0.075862827,0.092048669,0.114136492,0.099220167
160,0.082461701,0.122921961,0.101444514,0.115556051,0.082385363,0.103191304,0.128498082,0.09468747,0.094198505,0.11458701
161,0.047834658,0.119209463,0.110859433,0.134698198,0.090465069,0.090215392,0.133410652,0.037826987,0.104613514,0.110981067
162,0.084909806,0.075277596,0.142526471,0.092044698,0.085172478,0.119954259,0.074866024,0.088778548,0.039879661,0.051574412
163,0.095077142,0.082335357,0.078646048,0.131627847,0.058969198,0.084968615,0.113486407,0.080222314,0.094207664,0.112273924
164,0.051754381,0.089154057,0.070798227,0.077458579,0.100242488,0.097050826,0.081593546,0.078594047,0.080523071,0.087574906
165,0.098714485,0.11343206,0.092427808,0.070198412,0.096117248,0.091656385,0.096196148,0.083032061,0.095175845,0.096205975
166,0.120128022,0.125312869,0.081428198,0.088121864,0.0679778,0.052513679,0.085232619,0.082629499,0.107307438,0.05339363
167,0.102478439,0.104752739,0.086724583,0.093357672,0.112900003,0.105621344,0.099253319,0.142879921,0.110836266,0.127928904
168,0.064976471,0.065248511,0.101371622,0.089956785,0.065406587,0.092107747,0.099486974,0.049940881,0.111587875,0.083892982
169,0.065716297,0.09417469,0.169199191,0.092607412,0.098463482,0.07681716,0.066907581,0.114580837,0.089677433,0.150713891
170,0.106277022,0.109853875,0.080844283,0.081487054,0.104986174,0.035878657,0.111331523,0.099450247,0.068301102,0.096138557
171,0.167993347,0.066756993,0.140535791,0.092777033,0.100761814,0.095460469,0.108206236,0.091522559,0.082550018,0.068388904
172,0.082147453,0.071001016,0.078787194,0.101229023,0.101446498,0.093257602,0.078629678,0.123129664,0.085708327,0.078272161
173,0.137675996,0.114743955,0.080342848,0.125807618,0.08670025,0.077531045,0.076235459,0.074584667,0.093414232,0.12477185
174,0.075085798,0.060015295,0.144934058,0.106270549,0.04343552,0.071598731,0.073819727,0.107926951,0.107309985,0.075889746
175,0.082827054,0.075338318,0.09529381,0.072684079,0.078509738,0.092149123,0.099359476,0.112386242,0.099144435,-0.002391828
176,0.080719969,0.106491481,0.069453026,0.102753379,0.066172524,0.083197578,0.09425526,0.090405717,0.0624391,0.072401431
177,0.069980388,0.086867137,0.095546183,0.103971555,0.086878879,0.097060972,0.074047145,0.121168797,0.073072229,0.105963376
178,0.124164546,0.127922578,0.08729752,0.094426618,0.091451224,0.115407806,0.11648197,0.10063535,0.077422188,0.122043871
179,0.046568902,0.09787457,0.086318556,0.084330756,0.09539041,0.051565263,0.069963221,0.107778333,0.102600197,0.063153071
180,0.111958522,0.081575473,0.107196967,0.098338747,0.099677622,0.106940689,0.107161104,0.095675708,0.063613882,0.089177742
181,0.097882428,0.081537498,0.059873389,0.086641507,0.076409758,0.085851532,0.075153382,0.10150514,0.117552819,0.09738794
182,0.135278064,0.091007393,0.083709329,0.099153307,0.05469712,0.09583157,0.082119919,0.115679547,0.114357931,0.094460343
